n,true,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,-56.66666653197912,-59.28519343022576,-54.877956391615115,-55.67050000302065,-60.48069410444433,-60.51799621603642,-52.50531812472245,-57.21956359209916,-58.58077383674951,-60.76751812670699,-53.386877501041205,-58.0508635945579,-59.24873649961408
20.0,-56.66666653197912,-56.66666666666667,-58.25348574747894,-57.905718043456446,-58.53194236152658,-58.61608540852063,-57.59090890502159,-58.36517989331726,-58.438018719681835,-58.6500972435695,-57.56601065056717,-58.44908733290451,-58.50736717044081
30.0,-56.66666653197912,-56.66666666666667,-56.66815636525608,-58.73409101007415,-57.81405152936948,-58.13196643745355,-57.27597454874634,-57.86603419866202,-57.84535836872605,-57.93058865695925,-57.05210366911854,-57.760404837554105,-57.74980055372347
40.0,-56.66666653197912,-56.66666666666667,-54.60478605993971,-57.58761925588145,-57.95860421610017,-57.88872658602166,-57.388503868557606,-57.526631199468284,-57.510196771360086,-57.98051516925857,-57.37452438616824,-57.57673408890891,-57.56288707528131
50.0,-56.66666653197912,-56.66666666666667,-58.35515496346608,-56.93271383005352,-57.50121995548574,-57.553440758683124,-57.54870556598306,-57.49399114549126,-57.50198893833751,-57.56533901480479,-57.520679828442745,-57.50283907657223,-57.507281837410105
60.0,-56.66666653197912,-56.66666666666667,-58.702077382288735,-57.7617889097923,-57.62223988106307,-57.59145783880575,-57.59836634738841,-57.560631114999886,-57.588198625440725,-57.60257590757876,-57.57603618275674,-57.589287552262874,-57.608255544952115
70.0,-56.66666653197912,-56.66666666666667,-54.95480538500319,-56.86214300631675,-57.34307632380633,-57.327012795224604,-57.14082982521735,-57.17802866438899,-57.175642906009,-57.362419034904725,-57.1598363973859,-57.182075843880874,-57.18844806362942
80.0,-56.66666653197912,-56.66666666666667,-56.5360027164675,-57.164930767422604,-57.221105086393834,-57.24597570592249,-57.18846236084509,-57.242001368548735,-57.235006929836246,-57.25000646924788,-57.21281260518591,-57.240360981144775,-57.24285598186974
90.0,-56.66666653197912,-56.66666666666667,-57.19154406700885,-57.11565465418056,-57.278192118306286,-57.29434959208775,-57.10645372307248,-57.21583357019749,-57.219316885710896,-57.308281578479196,-57.105293152892806,-57.22230558869867,-57.22754444637153
100.0,-56.66666653197912,-56.66666666666667,-56.50326678276643,-57.075938944146664,-57.10971306595881,-57.15563583452236,-57.034697781951664,-57.07633823515239,-57.06959282847949,-57.14957836819087,-57.00322172577349,-57.06105239115425,-57.0486713568723
