n,true,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,-31.66666666666663,-31.692383177493934,-35.27803705408451,-30.670500003020653,-33.38386751983761,-34.759766882997994,-33.2308076080648,-34.47312651374867,-34.77235717451964,-33.41603350272828,-32.26722656983803,-33.25657920687807,-33.47766321004566
20.0,-31.66666666666663,-31.71664606358582,-32.641528704688184,-32.90571804345645,-32.133699030594116,-32.79053449282512,-32.77085377866446,-32.646065266788995,-32.59690108951073,-32.24185530942846,-32.114758099365005,-32.121146247384495,-32.07586102531672
30.0,-31.66666666666663,-31.65836794490309,-32.38290809060524,-33.73409101007415,-32.256541854869106,-32.94780020538706,-32.78361420398748,-32.74123361056801,-32.77898968188401,-32.33290820689155,-32.18130951112418,-32.20677983762545,-32.22987123645296
40.0,-31.66666666666663,-31.625381000355333,-29.893800267420023,-32.58761925588145,-31.75855396410169,-32.11573770954238,-31.931299387438393,-31.968533093033123,-31.993105905783853,-31.813281410207587,-31.682238228636727,-31.72961634874668,-31.744731903317223
50.0,-31.66666666666663,-31.6432098914866,-32.14992952257484,-31.93271383005353,-31.72874923292526,-32.054816101037595,-31.993105763042415,-31.978985167347656,-31.978426469762223,-31.790413580784257,-31.735810168050403,-31.740857201910025,-31.736459179266074
60.0,-31.66666666666663,-31.565637923576027,-32.3143053447551,-32.761788909792315,-31.791584386681127,-32.13874777085708,-32.00311001850714,-31.988213305965143,-32.001756794651804,-31.846837951737808,-31.751180590668287,-31.74195697968397,-31.745986016669043
70.0,-31.66666666666663,-31.652462716097283,-33.565340276269055,-31.862143006316735,-31.563004908556223,-31.775076604612888,-31.718981382153952,-31.739336420097978,-31.760450321931167,-31.60121011452663,-31.572636262469047,-31.58825379429245,-31.604467225361457
80.0,-31.66666666666663,-31.67048076714705,-32.68286019849401,-32.16493076742262,-31.602499497041087,-31.836834855936484,-31.753544985715063,-31.77159810653425,-31.7858192166894,-31.648118980284686,-31.600074058800352,-31.61296721976164,-31.620413553950392
90.0,-31.66666666666663,-31.598283952878283,-31.67333156062773,-32.11565465418056,-31.64095491734047,-31.88446528503788,-31.767366928646016,-31.796115555402217,-31.815537133870283,-31.687339848629723,-31.6144227184247,-31.63529869391358,-31.643747304404553
100.0,-31.66666666666663,-31.706293816415844,-31.448708883017947,-32.07593894414665,-31.556741987244656,-31.77512774051477,-31.744382637762442,-31.7513341020756,-31.759772499138638,-31.610563787005805,-31.59774011620114,-31.60411522493885,-31.61024460799593
